RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises
DATE;FREQUENCE_RETENUE(EN Hz);
01/03/2016 00:27:20;50,02;
01/03/2016 00:27:30;50,0069;
01/03/2016 00:27:40;50,0138;
01/03/2016 00:27:50;50,0191;
01/03/2016 00:28:00;50,0177;
01/03/2016 00:28:10;50,0214;
01/03/2016 00:28:20;50,015;
01/03/2016 00:28:30;50,0089;
01/03/2016 00:28:40;50,0171;
01/03/2016 00:28:50;50,0288;
01/03/2016 00:29:00;50,0283;
01/03/2016 00:29:10;50,0158;
01/03/2016 00:29:20;50,0176;
01/03/2016 00:29:30;50,0068;
01/03/2016 00:29:40;50,0099;
01/03/2016 00:29:50;50,0241;
01/03/2016 00:30:00;50,0248;
01/03/2016 00:30:10;50,0193;
01/03/2016 00:30:20;50,0169;
01/03/2016 00:30:30;50,0121;
01/03/2016 00:30:40;49,9991;
01/03/2016 00:30:50;49,9991;
01/03/2016 00:31:00;49,9875;
01/03/2016 00:31:10;49,9937;
01/03/2016 00:31:20;49,9961;
01/03/2016 00:31:30;49,9908;
01/03/2016 00:31:40;49,9934;
01/03/2016 00:31:50;49,9982;
01/03/2016 00:32:00;50,0035;
01/03/2016 00:32:10;50,0064;
01/03/2016 00:32:20;50,0059;
01/03/2016 00:32:30;50,0025;
01/03/2016 00:32:40;50,0015;
01/03/2016 00:32:50;50,0007;
01/03/2016 00:33:00;50,0013;
01/03/2016 00:33:10;50,0024;
01/03/2016 00:33:20;50,0014;
01/03/2016 00:33:30;50,0041;
01/03/2016 00:33:40;50,0054;
01/03/2016 00:33:50;50,0143;
01/03/2016 00:34:00;50,0079;
01/03/2016 00:34:10;50,0077;
01/03/2016 00:34:20;50,0102;
01/03/2016 00:34:30;50,0102;
01/03/2016 00:34:40;50,0063;
01/03/2016 00:34:50;50,0156;
01/03/2016 00:35:00;50,0174;
01/03/2016 00:35:10;50,0152;
01/03/2016 00:35:20;50,0029;
01/03/2016 00:35:30;49,9958;
01/03/2016 00:35:40;49,9997;
01/03/2016 00:35:50;50,0036;
01/03/2016 00:36:00;50,0059;
01/03/2016 00:36:10;50,0134;
01/03/2016 00:36:20;50,0163;
01/03/2016 00:36:30;50,0176;
01/03/2016 00:36:40;50,0166;
01/03/2016 00:36:50;50,018;
01/03/2016 00:37:00;50,0241;
01/03/2016 00:37:10;50,015;
01/03/2016 00:37:20;50,0107;
01/03/2016 00:37:30;50,0122;
01/03/2016 00:37:40;50,016;
01/03/2016 00:37:50;50,019;
01/03/2016 00:38:00;50,0165;
01/03/2016 00:38:10;50,0197;
01/03/2016 00:38:20;50,0264;
01/03/2016 00:38:30;50,0285;
01/03/2016 00:38:40;50,0294;
01/03/2016 00:38:50;50,0275;
01/03/2016 00:39:00;50,0203;
01/03/2016 00:39:10;50,0223;
01/03/2016 00:39:20;50,0228;
01/03/2016 00:39:30;50,027;
01/03/2016 00:39:40;50,0186;
01/03/2016 00:39:50;50,0128;
01/03/2016 00:40:00;50,0165;
01/03/2016 00:40:10;50,0147;
01/03/2016 00:40:20;50,0095;
01/03/2016 00:40:30;50,0013;
01/03/2016 00:40:40;49,9997;
01/03/2016 00:40:50;50,0123;
01/03/2016 00:41:00;50,0121;
01/03/2016 00:41:10;50,0136;
01/03/2016 00:41:20;50,0117;
01/03/2016 00:41:30;50,01;
01/03/2016 00:41:40;50,0159;
01/03/2016 00:41:50;50,0165;
01/03/2016 00:42:00;50,0186;
01/03/2016 00:42:10;50,0161;
01/03/2016 00:42:20;50,0159;
01/03/2016 00:42:30;50,023;
01/03/2016 00:42:40;50,0134;
01/03/2016 00:42:50;50,0166;
01/03/2016 00:43:00;50,0241;
01/03/2016 00:43:10;50,0199;
01/03/2016 00:43:20;50,0214;
01/03/2016 00:43:30;50,0113;
01/03/2016 00:43:40;50,0118;
01/03/2016 00:43:50;50,015;
01/03/2016 00:44:00;50,0101;
01/03/2016 00:44:10;50,0163;
01/03/2016 00:44:20;50,0188;
01/03/2016 00:44:30;50,0124;
01/03/2016 00:44:40;50,0101;
01/03/2016 00:44:50;49,9989;
01/03/2016 00:45:00;50,0131;
01/03/2016 00:45:10;50,0153;
01/03/2016 00:45:20;50,0153;
01/03/2016 00:45:30;50,0075;
01/03/2016 00:45:40;49,9951;
01/03/2016 00:45:50;49,998;
01/03/2016 00:46:00;49,9973;
01/03/2016 00:46:10;50,0015;
01/03/2016 00:46:20;50,0065;
01/03/2016 00:46:30;50,0052;
01/03/2016 00:46:40;50;
01/03/2016 00:46:50;50,0054;
01/03/2016 00:47:00;49,9948;
01/03/2016 00:47:10;49,9862;
01/03/2016 00:47:20;49,9907;
01/03/2016 00:47:30;49,9999;
01/03/2016 00:47:40;49,995;
01/03/2016 00:47:50;49,9934;
01/03/2016 00:48:00;49,996;
01/03/2016 00:48:10;50,0019;
01/03/2016 00:48:20;49,9961;
01/03/2016 00:48:30;50,0029;
01/03/2016 00:48:40;50,0069;
01/03/2016 00:48:50;50,0073;
01/03/2016 00:49:00;50,0094;
01/03/2016 00:49:10;50,0077;
01/03/2016 00:49:20;50,0082;
01/03/2016 00:49:30;50,0088;
01/03/2016 00:49:40;50,0034;
01/03/2016 00:49:50;50,0069;
01/03/2016 00:50:00;50,0229;
01/03/2016 00:50:10;50,0118;
01/03/2016 00:50:20;50,001;
01/03/2016 00:50:30;50,0142;
01/03/2016 00:50:40;50,0076;
01/03/2016 00:50:50;50,0053;
01/03/2016 00:51:00;50,0109;
01/03/2016 00:51:10;50,0115;
01/03/2016 00:51:20;50,0108;
01/03/2016 00:51:30;50,004;
01/03/2016 00:51:40;50,0038;
01/03/2016 00:51:50;50,0115;
01/03/2016 00:52:00;50,0077;
01/03/2016 00:52:10;50,0093;
01/03/2016 00:52:20;50,0155;
01/03/2016 00:52:30;50,0187;
01/03/2016 00:52:40;50,015;
01/03/2016 00:52:50;50,0125;
01/03/2016 00:53:00;50,0094;
01/03/2016 00:53:10;50,0063;
01/03/2016 00:53:20;50,0056;
01/03/2016 00:53:30;50,0006;
01/03/2016 00:53:40;50,0098;
01/03/2016 00:53:50;50,0069;
01/03/2016 00:54:00;50,0198;
01/03/2016 00:54:10;50,0205;
01/03/2016 00:54:20;50,0124;
01/03/2016 00:54:30;50,0073;
01/03/2016 00:54:40;50,0132;
01/03/2016 00:54:50;50,0095;
01/03/2016 00:55:00;50,0052;
01/03/2016 00:55:10;49,9984;
01/03/2016 00:55:20;49,9966;
01/03/2016 00:55:30;50;
01/03/2016 00:55:40;50,0083;
01/03/2016 00:55:50;50,0053;
01/03/2016 00:56:00;50,0014;
01/03/2016 00:56:10;50,0032;
01/03/2016 00:56:20;50,0013;
01/03/2016 00:56:30;50,008;
01/03/2016 00:56:40;50,0115;
01/03/2016 00:56:50;50,0101;
01/03/2016 00:57:00;50,0204;
01/03/2016 00:57:10;50,008;
01/03/2016 00:57:20;49,9905;
01/03/2016 00:57:30;49,9942;
01/03/2016 00:57:40;49,9906;
01/03/2016 00:57:50;49,9926;
01/03/2016 00:58:00;49,9959;
01/03/2016 00:58:10;50,0002;
01/03/2016 00:58:20;50,0132;
01/03/2016 00:58:30;50,0133;
01/03/2016 00:58:40;50,0073;
01/03/2016 00:58:50;50,0134;
01/03/2016 00:59:00;50,0192;
01/03/2016 00:59:10;50,0184;
01/03/2016 00:59:20;50,0142;
01/03/2016 00:59:30;50,0023;
01/03/2016 00:59:40;49,9981;
01/03/2016 00:59:50;50,0075;
01/03/2016 01:00:00;49,9985;
01/03/2016 01:00:10;49,9915;
01/03/2016 01:00:20;49,9915;
01/03/2016 01:00:30;49,9906;
01/03/2016 01:00:40;49,9821;
01/03/2016 01:00:50;49,9586;
01/03/2016 01:01:00;49,9623;
01/03/2016 01:01:10;49,9578;
01/03/2016 01:01:20;49,9672;
01/03/2016 01:01:30;49,9649;
01/03/2016 01:01:40;49,9694;
01/03/2016 01:01:50;49,9571;
01/03/2016 01:02:00;49,9546;
01/03/2016 01:02:10;49,9527;
01/03/2016 01:02:20;49,9519;
01/03/2016 01:02:30;49,955;
01/03/2016 01:02:40;49,9538;
01/03/2016 01:02:50;49,9566;
01/03/2016 01:03:00;49,9543;
01/03/2016 01:03:10;49,9557;
01/03/2016 01:03:20;49,9532;
01/03/2016 01:03:30;49,9529;
01/03/2016 01:03:40;49,9569;
01/03/2016 01:03:50;49,9569;
01/03/2016 01:04:00;49,9701;
01/03/2016 01:04:10;49,9739;
01/03/2016 01:04:20;49,9716;
01/03/2016 01:04:30;49,9718;
01/03/2016 01:04:40;49,9778;
01/03/2016 01:04:50;49,9795;
01/03/2016 01:05:00;49,9784;
01/03/2016 01:05:10;49,9791;
01/03/2016 01:05:20;49,9894;
01/03/2016 01:05:30;49,9861;
01/03/2016 01:05:40;49,9865;
01/03/2016 01:05:50;49,9911;
01/03/2016 01:06:00;49,9865;
01/03/2016 01:06:10;49,9849;
01/03/2016 01:06:20;49,9849;
01/03/2016 01:06:30;49,982;
01/03/2016 01:06:40;49,9866;
01/03/2016 01:06:50;49,9814;
01/03/2016 01:07:00;49,9863;
01/03/2016 01:07:10;49,9927;
01/03/2016 01:07:20;49,9982;
01/03/2016 01:07:30;49,9886;
01/03/2016 01:07:40;49,9907;
01/03/2016 01:07:50;49,9871;
01/03/2016 01:08:00;49,9878;
01/03/2016 01:08:10;49,9845;
01/03/2016 01:08:20;49,9851;
01/03/2016 01:08:30;49,9763;
01/03/2016 01:08:40;49,9784;
01/03/2016 01:08:50;49,9783;
01/03/2016 01:09:00;49,9752;
01/03/2016 01:09:10;49,9734;
01/03/2016 01:09:20;49,9813;
01/03/2016 01:09:30;49,9832;
01/03/2016 01:09:40;49,9827;
01/03/2016 01:09:50;49,9905;
01/03/2016 01:10:00;49,991;
01/03/2016 01:10:10;49,9933;
01/03/2016 01:10:20;49,9949;
01/03/2016 01:10:30;49,9955;
01/03/2016 01:10:40;50,0006;
01/03/2016 01:10:50;50,0078;
01/03/2016 01:11:00;50,0106;
01/03/2016 01:11:10;49,995;
01/03/2016 01:11:20;49,9916;
01/03/2016 01:11:30;50,0007;
01/03/2016 01:11:40;50,0067;
01/03/2016 01:11:50;50,0017;
01/03/2016 01:12:00;49,9974;
01/03/2016 01:12:10;50,0066;
01/03/2016 01:12:20;50,0113;
01/03/2016 01:12:30;50,0223;
01/03/2016 01:12:40;50,0237;
01/03/2016 01:12:50;50,0163;
01/03/2016 01:13:00;50,014;
01/03/2016 01:13:10;50,007;
01/03/2016 01:13:20;50,0056;
01/03/2016 01:13:30;50,0084;
01/03/2016 01:13:40;50,0016;
01/03/2016 01:13:50;50,0001;
01/03/2016 01:14:00;50,0099;
01/03/2016 01:14:10;50,0147;
01/03/2016 01:14:20;50,0121;
01/03/2016 01:14:30;49,9968;
01/03/2016 01:14:40;49,9932;
01/03/2016 01:14:50;49,9976;
01/03/2016 01:15:00;49,9896;
01/03/2016 01:15:10;49,9915;
01/03/2016 01:15:20;49,9915;
01/03/2016 01:15:30;49,9933;
01/03/2016 01:15:40;49,9912;
01/03/2016 01:15:50;50,0046;
01/03/2016 01:16:00;49,998;
01/03/2016 01:16:10;49,9957;
01/03/2016 01:16:20;49,9905;
01/03/2016 01:16:30;49,9942;
01/03/2016 01:16:40;49,9969;
01/03/2016 01:16:50;49,9993;
01/03/2016 01:17:00;50,0021;
01/03/2016 01:17:10;49,9929;
01/03/2016 01:17:20;49,9936;
01/03/2016 01:17:30;49,993;
01/03/2016 01:17:40;50,002;
01/03/2016 01:17:50;49,9946;
01/03/2016 01:18:00;49,9966;
01/03/2016 01:18:10;49,9964;
01/03/2016 01:18:20;49,9998;
01/03/2016 01:18:30;49,9957;
01/03/2016 01:18:40;50,0049;
